Year,Month,State,District,Serial Number,Station Code,Station Name,DO (mg/L),pH,Conductivity (µS/cm),BOD (mg/L),Nitrate (mg/L),Turbidity (NTU),Chloride (mg/L),COD (mg/L),Ammonia  (mg/L),TDS (mg/L),Temperature,WQI Drinking,WQI Domestic,WQI Agriculture
2023,January,Telangana,RR-shamshabad,75.0,4234.0,"Umda sagar lake,Jalpally(V), Saroornagar(M), Shamshabad ",0.3,8.41,1261.0,8.8,3.4,13,188,83.0,1.58,768,25.0,18.83,29.68,38.26
2023,January,Telangana,Yadadri Bhuvanagiri,76.0,1464.0,"Pedda Cheruvu, Bibinagar (V&M),Yadadri bhuvanagiri (D)",5.7,8.01,1065.0,4.7,20,5.4,179,52.0,0.4,677,25.0,18.91,41.27,45.05
2023,January,Telangana,Mulugu,77.0,3068.0,"Ramappa lake, Palampet (V), Venkatapuram (M), Mulugu District.",6,8.13,233.0,3.2,1.1,3,27,35.0,0.4,140,25.0,33.99,43.89,48.41
2023,January,Telangana,Warangal,78.0,1447.0,"Dharmasagar Tank, Dharmasagar(V&M), Hanumakonda District",6.1,7.9,466.0,2,1.8,1,49,16.0,0.4,290,25.0,38.21,49.84,79.09
2023,January,Telangana,Warangal Urban,79.0,2346.0,"Bhadrakali Cheruvu, Near Bhadrakali Temple, Hanumakonda",5.8,7.78,799.0,3.8,2,4,118,39.0,0.68,504,25.0,18.97,43.59,47.13
2023,January,Telangana,Warangal Urban,80.0,3084.0,"Wadepalli Cheruvu, Wadepally (V), Hanamkonda (M&D)",5.8,7.86,559.0,2.4,2.3,6,69,20.0,0.4,348,25.0,29.66,44.26,100.0
2023,January,Telangana,Warangal Urban,81.0,3085.0,"Chinna Wadepalli Cheruvu, Enumamula(V), Warangal(M&D)",0.3,6.95,1073.0,9,4.8,10,192,94.0,1.58,666,25.0,18.83,29.67,40.98
2023,January,Telangana,Warangal Urban,83.0,2345.0,"Sai Cheruvu, Deshaipet(V), Warangal (M&D)",0.3,7.51,2824.0,12,5.6,8,784,110.0,1.34,1752,25.0,12.87,13.06,34.41
2023,January,Telangana,Jagityal,84.0,4222.0,"Kondagattu temple- Koneru, Jagitiyal",5.2,7.22,593.0,3.2,2.1,2,86,31.0,0.4,378,25.0,29.63,44.29,50.47
2023,January,Telangana,Siricilla,85.0,4223.0,"Vemulawada temple - Koneru, Vemulawada (V & M) Karimnagar",1.8,6.8,925.0,5.2,2.2,4,98,55.0,0.68,582,25.0,18.9,38.21,41.88
2023,January,Telangana,RR-shamshabad,86.0,4228.0,"Pedda cheruvu/Ibrahim cheruvu, Ibrahimbagh, Rajendranagar(M), Rangareddy District",0.3,7.67,1302.0,6,3.8,7,152,59.0,2.48,820,25.0,18.86,29.83,41.42
2023,January,Telangana,Sangareddy,87.0,4230.0,"Kistaipally Cheruvu, Kistaipally (V), Jinnaram(M), Sangareddy District",7.2,7.19,2841.0,9.4,32,10.8,651,104.0,0.4,1840,25.0,18.82,24.61,38.35
2023,January,Telangana,Sangareddy,88.0,4231.0,"Rayam Cheruvu, Bonthapally (V), Gummadidala (M), Sangareddy District",7.6,7.21,1208.0,6.1,13,7.1,179,68.0,0.4,785,25.0,24.4,38.09,41.68
2023,January,Telangana,Siddipet,89.0,4232.0,"Komati Cheruvu, Siddipet Town, Siddipet District.",8.1,8.36,743.0,3.6,12,4.2,89,40.0,0.4,465,25.0,24.51,41.77,42.58
2023,January,Telangana,RR-shamshabad,90.0,4235.0,"Kamuni Cheruvu, Shamshabad (V&M), Rangareddy District",0.3,8.28,1044.0,6.2,2,15,169,87.0,1.56,658,25.0,18.83,29.67,38.2
2023,January,Telangana,Sangareddy,91.0,4233.0,"Gaddapotharam cheruvu, Gaddapotharam (V), Jinnaram (M), Sangareddy District",8,7.1,2916.0,11,48,12.5,657,120.0,0.4,1890,25.0,18.81,24.56,34.44
2023,January,Telangana,Sangareddy,92.0,4238.0,"Ameenpur Cheruvu, Ameenpur (V & M), Sangareddy District",7.6,7.48,1177.0,7.6,34,8.7,152,84.0,0.4,702,25.0,24.38,37.89,41.35
2023,January,Telangana,Sangareddy,93.0,4239.0,"Mahaboobsagar Tank, Sangareddy(V&M), Sangareddy District",5.8,8.5,811.0,5,17,5.8,101,56.0,0.4,512,25.0,18.9,41.14,44.7
2023,January,Telangana,Sangareddy,94.0,4244.0,"Erdhanoor Tank, Erdhanoor (V), Patancheru (M), Sangareddy District",7,8.28,1390.0,3.6,25,4.2,295,40.0,0.4,890,25.0,18.94,43.53,43.46
2023,January,Telangana,Sangareddy,95.0,4245.0,"Mallepally Tank, Mallepally (V), Kondapur (M),  Sangareddy District",6.8,8.56,1763.0,4.7,15,5.4,212,52.0,0.4,973,25.0,18.9,38.45,39.77
2023,January,Telangana,Warangal Urban,96.0,4247.0,"Mucharla Nagaram cheruvu, Nagaram (V), Hasanparthy (M), Hanumakonda , Warangal",3.2,7.88,812.0,4.4,2.8,8,118,40.0,1.14,496,25.0,24.44,34.79,43.69
2023,January,Telangana,Warangal Urban,97.0,4248.0,"Koti Cheruvu, Mulugu Road, Warangal, Warangal District",0.3,6.92,1063.0,8,3.2,6,127,74.0,0.72,658,25.0,18.86,34.23,41.19
2023,January,Telangana,RR-shamshabad,98.0,4229.0,"Neknampur Lake, Neknampur, Ibrahimbagh, Rajendranagar (M),Rangareddy District",0.3,8.34,1652.0,10,5.2,23,210,103.0,1.39,1040,25.0,18.81,19.01,38.0
2023,January,Telangana,Warangal Urban,99.0,4249.0,"Rangasamudram,  Ursu (V), Khila Warangal (M), Warangal District",5.6,7.67,948.0,2.8,3.6,5.8,120,20.0,1.42,602,25.0,19.01,40.43,100.0
2023,January,Telangana,Sangareddy,100.0,4661.0,"Peddakanjarla Tank, Peddakanjarla (V), Patancheru (M), Sangareddy District.",6.6,8.01,340.0,3.6,7,4.2,41,40.0,0.4,190,25.0,37.57,43.53,43.96
2023,January,Telangana,Sangareddy,101.0,4666.0,"Ismailkhanpet Tank, Ismailkhanpet (V), Sangareddy (M & District)",6.2,8.38,699.0,5.4,14,6.2,93,60.0,0.4,378,25.0,24.43,38.26,42.52
2023,January,Telangana,Rangareddy,102.0,4670.0,"Bairamalguda Cheruvu, Saroornagar, Rangareddy District",0.3,7.96,1409.0,14,4.4,21,160,179.0,1.58,874,25.0,18.8,29.48,34.11
2023,January,Telangana,Hyderabad,103.0,4675.0,"Lotus pond, Hakimpet (V), Shaik pet (M), Hyderabad (D)",1,7.32,772.0,5,2.8,19,88,47.0,1.32,464,25.0,24.38,34.27,38.66
2023,January,Telangana,Mulugu,104.0,4680.0,"Laknavaram Cheruvu, Laknavaram, (V), Govindarao peta (M), Mulugu District.",6.4,8.06,172.0,1.4,0.92,1.5,14,12.0,0.4,102,25.0,34.9,60.65,60.65
2023,January,Telangana,Warangal Rural,105.0,4681.0,"Phakal Cheruvu, Narsampet, Warangal District",5.8,8.14,396.0,2.6,0.88,2,47,23.0,0.4,246,25.0,34.18,45.77,64.41
2023,January,Telangana,Warangal,106.0,4682.0,"Bandam Cheruvu, Near NIT Warangal, Hanamkonda",4.2,7.85,637.0,3.4,2.3,6.2,76,32.0,2.28,394,25.0,24.47,34.89,49.84
2023,January,Telangana,Sangareddy,107.0,4688.0,"Narinja Lake, Kothur-B (V), Zaheerabad (M), Sangareddy",6.5,8.39,691.0,3.6,15,4.2,84,40.0,0.4,411,25.0,29.53,43.53,44.1
2023,January,Telangana,Hyderabad,108.0,1391.0,"Hussain sagar Lake, Domalguda (V), Hyderabad",1.1,7.47,1327.0,5.6,3.8,10.8,157,51.0,3.62,822,25.0,18.85,29.79,38.95
2023,January,Telangana,Hyderabad,109.0,3071.0,"Langarhouse Tank, Golconda (V&M) ,Hyderabad (D)",0.3,7.32,1385.0,6.6,3.8,15,147,62.0,3.12,858,25.0,18.84,29.7,38.45
2023,January,Telangana,Hyderabad,110.0,2341.0,"Miralam tank, Bahadurpura (M), Hyderabad",1.8,7.48,1303.0,5,2.5,17,174,55.0,2.96,794,25.0,18.84,34.17,38.73
2023,January,Telangana,Medchal Malkajgiri,111.0,3073.0,"Hasmathpet lake, Hasmathpet",0.3,7.66,1034.0,6.4,2.8,6,103,78.0,2.12,642,25.0,18.85,29.75,41.14
2023,January,Telangana,Medchal Malkajgiri,112.0,3072.0,"Safilguda lake, Medchal",0.3,7.59,1484.0,8,3.2,11,164,101.0,0.96,906,25.0,18.83,34.07,38.15
2023,January,Telangana,Medchal Malkajgiri,113.0,3075.0,"Rangadhamini Kunta, Kukatpally(V&M), Medchal - Malkajgiri (D)",1.2,8.07,1421.0,5.4,3.4,10,172,55.0,1.08,852,25.0,18.86,29.96,41.71
2023,January,Telangana,Medchal Malkajgiri,114.0,3076.0,"Amber cheruvu, Kukatpally (V & M), Medchal- malkajigiri",0.3,7.93,1052.0,6.2,2.9,9,115,63.0,3.16,654,25.0,18.85,29.75,41.35
2023,January,Telangana,Medchal Malkajgiri,115.0,3077.0,"Kapra cheruvu, Kapra (V), Keesara (M)",2.6,7.68,896.0,3.4,2.6,8,99,31.0,0.58,536,25.0,18.94,38.76,44.1
2023,January,Telangana,RR-shamshabad,116.0,2357.0,"Durgam cheruvu , Raidurg (V), Serilingampally (M), Rangareddy (D)",1.8,8.07,793.0,5.6,2.5,2.6,92,51.0,0.51,482,25.0,24.45,38.27,42.02
2023,January,Telangana,Medchal Malkajgiri,117.0,2344.0,"Nalla cheruvu, Uppal (V & M), Medchal District",0.3,8.03,1598.0,8.6,3.4,10,190,82.0,3.58,1006,25.0,18.83,19.07,41.1
2023,January,Telangana,Medchal Malkajgiri,118.0,2359.0,"Pedda Cheruvu, Nacharam (V), Uppal (M), Medchal District",0.3,7.51,1459.0,8,3.8,13,149,86.0,1.28,904,25.0,18.83,29.69,38.24
2023,January,Telangana,RR-shamshabad,119.0,2342.0,"Noor Md. Kunta, Shamshabad",0.3,7.78,1381.0,10,3.6,14.8,144,137.0,3.24,828,25.0,18.81,29.53,37.92
2023,January,Telangana,Medchal Malkajgiri,120.0,3070.0,"Fox sagar, Jeedimetla (V), Qutubullapur (M), Medchal Malkajgiri (D)",1.6,8.08,1048.0,5.8,2.7,7.4,134,55.0,0.64,660,25.0,18.88,34.45,41.82
2023,January,Telangana,Hyderabad,121.0,3074.0,"Banjara Lake (Anantagani kunta), Banjara Hills, Hyderabad",0.3,7.31,1169.0,6.8,2.9,28,128,63.0,2.26,714,25.0,18.82,29.64,38.18
2023,January,Telangana,Sangareddy,124.0,3086.0,"Saki Tank, Patancheru (V & M), Sangareddy District",6.8,7.28,768.0,3.2,20,3.7,91,36.0,0.4,460,25.0,29.56,43.81,44.26
2023,January,Telangana,RR-shamshabad,125.0,4237.0,"Mundla Katwa,Moosapet(V), Kukatpally (M),Medchal - Malkajgiri (D)",0.3,8.28,1316.0,10,3.8,33,165,107.0,1.48,830,25.0,18.81,29.54,37.9
2023,January,Telangana,Hyderabad,126.0,4667.0,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",0.3,7.43,1832.0,6.5,3.8,24,262,63.0,2.86,1154,25.0,12.88,19.07,38.25
2023,January,Telangana,Medchal Malkajgiri,127.0,4668.0,"Chinnarayana Cheruvu, Alwal (V&M), Medchal- Malkajgiri (D)",0.3,7.86,1586.0,6,3.5,18,181,152.0,2.46,968,25.0,18.81,24.5,37.85
2023,January,Telangana,Rangareddy,130.0,4672.0,"MediKunta , Nanakramguda (V), Serilingampally (M), Rangareddy District",4.2,7.5,979.0,2.8,2.6,13,140,31.0,0.64,588,25.0,18.91,38.59,45.82
2023,January,Telangana,Rangareddy,132.0,4674.0,"Meedi Kunta, Hafeezpet (V), Serlingampally (M), Rangareddy District",5.8,7.57,613.0,2.4,1.8,8,71,20.0,0.82,374,25.0,24.56,43.26,100.0
2023,January,Telangana,Medchal Malkajgiri,133.0,4676.0,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (M),  Medchal- Malkajgiri (D)",0.3,7.87,1475.0,12,3.2,21,188,139.0,3.88,898,25.0,18.8,29.5,34.21
2023,January,Telangana,Medchal Malkajgiri,134.0,4677.0,"Lingam Cheruvu, Suraram (V), Quthubullapur(M), Medchal-Malkajgiri District",0.3,7.6,1633.0,9,3.2,21,230,87.0,3.84,996,25.0,18.82,24.55,38.11
2023,January,Telangana,Rangareddy,135.0,4678.0,"Patel Cheruvu, Nacharam (V), Uppal (new Mandal), Medchal- malkajigiri",0.3,8.17,1265.0,12,3.8,15,142,135.0,1.98,796,25.0,18.81,29.54,34.26
2023,January,Telangana,Rangareddy,136.0,4679.0,"Bomrukud-Dowla Lake(HUDA Park Lake ), Bumruknudowla (V), Rajendranagar (M), Rangareddy (D)",0.3,8.21,2316.0,14,4.9,20,341,152.0,3.62,1412,25.0,12.86,18.93,34.17
2023,January,Telangana,Warangal,137.0,4683.0,"Pedda Cheruvu, Madikonda (V),  Khazipet (M), Hanumakonda, Warangal",5.2,8.05,776.0,4,2.8,5.2,100,40.0,0.96,486,25.0,24.48,41.77,46.88
2023,January,Telangana,Sangareddy,138.0,4684.0,"Campus Lake, ICRISAT, Kachireddi Pally (V), Ramachandrapuram (M),Sangareddy District",6.5,8.25,617.0,4.5,10,5.2,62,50.0,0.4,337,25.0,33.88,41.34,43.0
2023,January,Telangana,Sangareddy,139.0,4685.0,"Surisigal Lake, ICRISAT, Ramachandrapuram (V&M), Sangareddy District",5.6,8.32,900.0,3.4,20,4,101,38.0,0.4,541,25.0,18.97,43.66,47.4
2023,January,Telangana,Sangareddy,140.0,4686.0,"ICRISAT Lake,ICRISAT, Manmole (V), Ramachandrapuram (M), Sangareddy District",8,8.23,875.0,4.3,18,5,86,48.0,0.4,476,25.0,29.48,43.15,42.22
2023,January,Telangana,Sangareddy,141.0,4687.0,"Red Lake, ICRISAT, Ramachandrapuram (M), Sangareddy District",4.8,7.83,1074.0,5.6,30,6.4,181,62.0,0.4,640,25.0,18.88,34.54,44.29
2023,January,Telangana,Hyderabad,142.0,4689.0,"Sunnam Kunta, Jubille Hills, Hyderabad",1.8,7.01,427.0,5.4,1.8,24,49,51.0,0.4,260,25.0,33.77,34.21,38.56
2023,January,Telangana,Hyderabad,143.0,4690.0,"Banjara Kunta (Singadi Kunta), Shaikpet (V&M), Hyderabad (D)",0.3,7.69,993.0,6.4,3.3,11,145,78.0,1.54,616,25.0,18.84,29.74,38.35
2023,January,Telangana,RR-shamshabad,144.0,4691.0,"Nagole Cheruvu, Uppal, Medchal - Malkajgiri District",0.3,7.81,1269.0,10.8,4.6,26,138,103.0,1.12,798,25.0,18.81,29.57,34.31
2023,January,Telangana,Medchal Malkajgiri,145.0,4692.0,"Ramanthapur Pedda Cheruvu, Ramanthapur, Medchal - Malkajgiri District",0.3,7.58,966.0,14,3.4,8,137,206.0,1.28,578,25.0,18.8,29.48,37.74
2023,January,Telangana,Medchal Malkajgiri,149.0,4696.0,"Parki Cheruvu, Kukatpally (V&M), Medchal-Malkajgiri (D)",1.8,7.39,1569.0,5.6,3.8,17,167,52.0,1.32,958,25.0,18.85,24.81,38.8
2023,January,Telangana,Medchal Malkajgiri,151.0,4698.0,"Mannevari Kunta, Machabollaram (V), Alwal (M), Medchal-Malkajgiri (D)",0.3,8.2,1673.0,8,3.6,7.6,220,84.0,1.84,1036,25.0,18.84,19.12,41.08
2023,January,Telangana,RR-shamshabad,152.0,4699.0,"Kaprai Cheruvu, Sahebnagar, Hayathnagar,Rangareddy District",2.6,8.22,603.0,5,2.2,18,56,56.0,0.68,380,25.0,24.38,37.94,38.84
2023,January,Telangana,Rangareddy,154.0,4701.0,"Lingam Kunta, Chandanagar (V), Serlingampally(M), Ranga Reddy (D).",0.3,8.38,1173.0,8,3.1,17,168,79.0,1.16,728,25.0,18.83,29.69,38.23
2023,January,Telangana,Rangareddy,155.0,4702.0,"Pedda Cheruvu, Khajaguda (V), Serlingampally(M), Ranga Reddy District",Nil,8.35,1572.0,34,,95.4,192,124.0,BDL,852,25.0,22.96,29.39,34.9
2023,January,Telangana,Rangareddy,157.0,4704.0,"PeddaCheruvu, Mansoorabad (V),  Saroornagar(M), Rangareddy (D)",0.3,7.82,762.0,8,2.5,20,86,87.0,1.02,464,25.0,24.35,29.65,38.12
2023,January,Telangana,Medchal Malkajgiri,158.0,4705.0,"Kotta Cheruvu, Alwal (V & M),Medchal-Malkajgiri (D)",0.3,7.88,1780.0,14,2.8,6.8,201,148.0,2.94,1104,25.0,18.81,18.96,37.89
2023,January,Telangana,Hyderabad,160.0,5030.0,"Naya Qilla Talab, Golkonda (V&M), Hyderabad (D)",1.4,8.3,1188.0,5.4,3.2,18,162,59.0,1.4,760,25.0,18.84,29.79,38.56
2023,January,Telangana,Hyderabad,162.0,5032.0,"Kotha Cheruvu, Shaikpet(V&M), Hyderabad (D)",0.3,7.08,1551.0,12,3.8,34,204,138.0,2.02,946,25.0,18.8,24.47,34.15
2023,January,Telangana,Hyderabad,163.0,5033.0,"Shahatam Cheruvu, Shaikpet(V&M), Hyderabad (D)",0.3,7.14,1359.0,10,2.6,29,159,106.0,1.28,842,25.0,18.81,29.56,37.93
2023,January,Telangana,Medchal Malkajgiri,166.0,5036.0,"Ramanna cheruvu, Boinpally(V), Tirumalagiri(M), Hyderabad (D)",0.3,8.1,1045.0,10,3.4,15,142,107.0,0.84,638,25.0,18.82,34.02,38.06
2023,January,Telangana,Medchal Malkajgiri,167.0,5037.0,"Tirumalagiri Tank, Tirumalagiri(V & M), Hyderabad (D)",0.3,7.68,1519.0,10,4.5,13,164,140.0,2.24,912,25.0,18.81,24.52,37.93
2023,January,Telangana,Hyderabad,169.0,5039.0,"DMRL  Lake, Kanchanbagh, Chandrayanguda (M), Hyderabad (D)",0.3,7.32,1404.0,8,2.72,28,190,86.0,1.84,856,25.0,18.81,29.59,38.03
2023,January,Telangana,Medchal Malkajgiri,170.0,5040.0,"Bandlaguda Cheruvu, Nagole (V), Uppal (M), Medchal (D)",0.3,7.84,1276.0,18,3.6,25,142,270.0,2.56,780,25.0,18.79,29.42,33.97
2023,January,Telangana,Medchal Malkajgiri,171.0,5041.0,"Pathulguda Cheruvu, Pathulguda (V), Saroornagar (M), Rangareddy (D)",0.3,8.59,1186.0,10,3.8,7.2,164,122.0,1.36,724,25.0,12.88,29.61,38.03
2023,January,Telangana,Medchal Malkajgiri,172.0,5042.0,"Yellamma Cheruvu,Kukatpally(V&M),  Medchal Malkajgiri(D)",0.3,7.19,1559.0,10,3.3,24,167,135.0,1.58,950,25.0,18.81,24.5,37.87
2023,January,Telangana,Medchal Malkajgiri,173.0,5043.0,"Mysamma Cheruvu, Kukatpally(V&M),  Medchal Malkajgiri(D)",0.3,7.21,1432.0,8,3.2,11,189,83.0,3.02,886,25.0,18.83,29.66,38.3
2023,January,Telangana,Medchal Malkajgiri,174.0,5044.0,"Sudalavani Kunta (Sunnam Cheruvu), Allahpur(V), Borabanda(M),Medchal Malkajgiri(D)",0.3,8.12,1515.0,10,3.8,11,167,109.0,1.74,954,25.0,18.82,24.58,38.1
2023,January,Telangana,Medchal Malkajgiri,175.0,5045.0,"Mothkula Kunta, MachaBollaram(V),Alwal (M), Medchal Malkajgiri(D)",0.3,8.05,1826.0,12,3.4,24,191,156.0,1.28,1150,25.0,18.8,18.94,34.15
2023,January,Telangana,Medchal Malkajgiri,176.0,5046.0,"Chintal Cheruvu, Gajularamaram(V), Quthbullapur(M), Medchal Malkajgiri(D)",3.2,7.77,606.0,4,2,4,61,36.0,0.72,370,25.0,24.5,41.68,44.26
2023,January,Telangana,Medchal Malkajgiri,177.0,5047.0,"Mahaboob kunta , Suraram(V), Quthbullapur(M), Medchal Malkajgiri(D)",0.3,7.83,731.0,8,2.6,12,88,79.0,1.08,446,25.0,24.37,29.73,38.32
2023,January,Telangana,Medchal Malkajgiri,179.0,5049.0,"Meddela Kunta, Gajularamaram(V), Quthbullapur(M), Medchal Malkajgiri(D)",2.2,7.07,960.0,5,2.7,8,120,48.0,0.88,586,25.0,18.89,38.26,42.31
2023,January,Telangana,Medchal Malkajgiri,180.0,5050.0,"Venna Cheruvu, Jeedimetla(V), Quthbullapur(M), Medchal Malkajgiri(D)",2.5,7.82,1441.0,5.4,3.4,9,152,52.0,2.78,906,25.0,18.86,29.89,42.26
2023,January,Telangana,Medchal Malkajgiri,181.0,5051.0,"Chinna Bandham, Suraram(V), Quthbullapur(M), Medchal Malkajgiri(D)",0.3,8.05,1195.0,6.2,2,5,152,76.0,1.96,752,25.0,18.85,34.2,41.17
2023,January,Telangana,Medchal Malkajgiri,182.0,5052.0,"Bakshi Kunta, Chandanagar(V), Sherilingampally(M), Ranga Reddy(D)",0.3,7.85,852.0,8,2.9,19,120,79.0,1.74,526,25.0,18.83,29.66,38.2
2023,January,Telangana,Medchal Malkajgiri,183.0,5053.0,"Ramamma Kunta , Gachibowli (V), Sherilingampally(M), Ranga Reddy (D)",5.2,8.17,911.0,2,3.2,2,115,16.0,1.12,556,25.0,19.19,46.74,100.0
2023,January,Telangana,Medchal Malkajgiri,185.0,5055.0,"Chinna Pedda cheruvu, Gopanpally(V), Sherilingampally(M), Ranga Reddy(D)",5.2,8.61,584.0,2,2,1,108,16.0,0.49,362,25.0,30.01,49.84,80.56
2023,January,Telangana,Medchal Malkajgiri,186.0,5056.0,"Nayanamma Kunta (Baspalli Cheruvu), Hafeezpet (V), Sherilingampally (M), Ranga Reddy (D)",0.3,7.8,838.0,7,2.96,11.9,88,64.0,0.71,502,25.0,18.85,34.23,38.5
2023,January,Telangana,Medchal Malkajgiri,187.0,5057.0,"Kudi Kunta (Gauthami Lake), Kondapur(V), Sherilingampally(M), Ranga Reddy(D)",0.3,8.18,1461.0,14,4,21,164,210.0,0.9,906,25.0,18.79,33.85,34.05
2023,January,Telangana,Medchal Malkajgiri,188.0,5058.0,"Regula Kunta, Miyapur (V), Sherilingampally (M), Ranga Reddy (D)",0.3,8.15,787.0,12,2.6,1,93,135.0,0.74,482,25.0,29.37,37.62,37.95
2023,January,Telangana,Medchal Malkajgiri,189.0,5059.0,"Gopi Cheruvu, Lingampally(V), Sherilingampally(M), Ranga Reddy(D)",0.3,8.17,1325.0,10,3.8,9,157,107.0,1.92,822,25.0,18.82,29.62,40.88
2023,January,Telangana,Medchal Malkajgiri,190.0,5060.0,"Chakalavani Cheruvu , Lingampally(V), Sherilingampally(M), Ranga Reddy(D)",0.3,7.97,1275.0,12,3.6,13,154,147.0,1.42,778,25.0,18.81,29.54,34.24
2023,January,Telangana,Medchal Malkajgiri,191.0,5061.0,"Peddakudi Cheruvu, Maqta Mahboobpet(V), Sherilingampally(M), Ranga Reddy(D)",0.3,7.68,994.0,16,3.1,21,115,191.0,2.08,606,25.0,18.8,29.47,34.08
2023,January,Telangana,Medchal Malkajgiri,192.0,5062.0,"Gurunath Cheruvu, Miyapur (V), Sherilingampally(M), Ranga Reddy (D)",0.3,7.72,898.0,8,2.9,11,113,99.0,0.94,556,25.0,18.83,34.07,38.17
2023,January,Telangana,Medchal Malkajgiri,193.0,5063.0,"Nanakram Kunta, Nanakramguda(V), Sherilingampally(M), Ranga Reddy (D)",0.3,7.77,1344.0,6.4,3.9,8,176,60.0,2.28,818,25.0,18.86,29.82,41.4
2023,January,Telangana,Medchal Malkajgiri,194.0,5111.0,"Nagiraddy Kunta(Yapral Cheruvu), Alwal (V&M),   Medchal- Malkajgiri(D)",0.3,7.85,1734.0,12,4.6,12,280,124.0,3.24,1092,25.0,12.87,18.98,34.33
